step=00203 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00204 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00205 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00206 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00207 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00208 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00209 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00210 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00211 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00212 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00213 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00214 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00215 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00216 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00217 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00218 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00219 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00220 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00221 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00222 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00223 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00224 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00225 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00226 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00227 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00228 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00229 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00230 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00231 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00232 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00233 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00234 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00235 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00236 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00237 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00238 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00239 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00240 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00241 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00242 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00243 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00244 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00245 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00246 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00247 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00248 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00249 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00250 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00251 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00252 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00253 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00254 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00255 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00256 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00257 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00258 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00259 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00260 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00261 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00262 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00263 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00264 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00265 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00266 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00267 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00268 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00269 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00270 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00271 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00272 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00273 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00274 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00275 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00276 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00277 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00278 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00279 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00280 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00281 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00282 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00283 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00284 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00285 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00286 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00287 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00288 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00289 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00290 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00291 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00292 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00293 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00294 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00295 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00296 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00297 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00298 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00299 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
--- epoch=029 eval L1=2.0000 TV=1.0000 modes=0/4 peak_mass=0.0000
step=00300 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00301 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00302 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00303 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00304 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00305 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00306 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00307 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00308 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00309 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00310 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00311 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00312 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00313 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
