[final] running: /home/armaan/phylogfn/.venv/bin/python -u -m learned_reverse_ips.train --run-name learned_reverse_27taxa_noreplay_b4096_seed0 --cfg src/configs/benchmark_dna_cfgs/discrete_branch_lengths/cfg_0.001binsize_50bins_temperature_anneal_0.4_27taxa_shift12000.yaml --dataset dataset/benchmark_datasets/DS1.pickle --output final/runs/27taxa_noreplay_b4096_seed0/learned_reverse --seed 0 --epochs 25000 --steps-per-epoch 1 --on-policy-batch-size 1024 --replay-batch-size 0 --replay-buffer-size 512 --checkpoint-every 1000 --full-model --outcome-level signature --advantage-reward-mode log_reward --grpo-lr 1e-4 --grpo-entropy-coef 0.0 --grpo-num-iterations 1 --rollout-chunk-size 1024 --print-every 25 --disable-replay --reward-target shifted_linear --reverse-lr 0.001 --reverse-train-epochs 8 --reverse-hidden-size 256 --reverse-num-layers 3 --skip-post-train --reverse-policy mlp --resume-from final/runs/27taxa_noreplay_b4096_seed0/learned_reverse/20260825_191559_learned_reverse_27taxa_noreplay_b4096_seed0_learned_reverse_ips_grpo --mini-batch-splits 4
cpu_threads=2
/home/armaan/phylogfn/src/gfn/tb_gfn_phylo.py:126: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler()
warning: removing 533 metrics records newer than committed checkpoint checkpoint_epoch14999.pt
resuming from checkpoint_epoch14999.pt: global_step=60000 mode=on_policy
  continue epochs [15000, 25000)
restored learned-reverse state from learned_reverse_epoch14999.pt
run_dir=/home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed0/learned_reverse/20260825_191559_learned_reverse_27taxa_noreplay_b4096_seed0_learned_reverse_ips_grpo
method=learned_reverse_ips_grpo device=cuda:0 reverse_policy_type=mlp outcome_level=signature reward_target=shifted_linear full_model=True G_on=1024 G_replay=0 G_total=1024 replay_buffer=0
weight=R(x)*q_phi(tau|x)/P_F(tau); reverse update happens after PPO
step=62175 loss=-0.0116 reverse_nll=0.0152 ESS=0.998 batch_outcomes=256 batch_topologies=256 seen=15915068
step=62200 loss=0.0036 reverse_nll=0.0002 ESS=0.981 batch_outcomes=256 batch_topologies=256 seen=15921301
step=62225 loss=-0.0120 reverse_nll=0.0002 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=15927486
step=62250 loss=-0.0133 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15933672
step=62275 loss=-0.0083 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15939909
step=62300 loss=-0.0091 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15946101
step=62325 loss=-0.0042 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15952275
step=62350 loss=-0.0023 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15958477
step=62375 loss=-0.0024 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15964679
step=62400 loss=-0.0037 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15970787
step=62425 loss=0.0455 reverse_nll=0.3775 ESS=0.974 batch_outcomes=256 batch_topologies=256 seen=15976957
step=62450 loss=0.0118 reverse_nll=0.0034 ESS=0.982 batch_outcomes=256 batch_topologies=256 seen=15983088
step=62475 loss=-0.0032 reverse_nll=0.0016 ESS=0.994 batch_outcomes=256 batch_topologies=256 seen=15989241
step=62500 loss=0.0574 reverse_nll=0.0311 ESS=0.956 batch_outcomes=256 batch_topologies=256 seen=15995365
step=62525 loss=-0.0060 reverse_nll=0.0005 ESS=0.992 batch_outcomes=256 batch_topologies=256 seen=16001461
step=62550 loss=-0.0095 reverse_nll=0.0002 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16007522
step=62575 loss=-0.0108 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16013552
step=62600 loss=-0.0090 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16019596
step=62625 loss=-0.0056 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16025688
step=62650 loss=-0.0039 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16031741
